time,distance,speed,accelerationX,accelerationY,accelerationZ,speedLimit,speedDifference,speedSeverity
1.03,0.469812,44.51767,-0.086508006,-0.043710813,-0.175858945,90,-45.48,0
1.04,0.4825829,45.1026726,-0.030061219,-0.000465067,-0.170073748,90,-44.9,0
1.06,0.496001,45.7819366,-0.017223526,-0.004650509,-0.164574623,90,-44.22,0
1.08,0.50810854,46.2711372,-0.009256111,0.002791376,-0.138509661,90,-43.73,0
1.1,0.521403,46.66102,-0.004156724,0.003672473,-0.08492625,90,-43.34,0
1.12,0.53970255,46.91622,-0.001422379,-0.000739184,-0.071679175,90,-43.08,0
1.13,0.55235041,47.15875,-0.6522819,0.07172759,-0.06864061,90,-42.84,0
1.15,0.56647571,47.3600044,0.05837234,0.011548363,-0.05875255,90,-42.64,0
1.17,0.57906636,47.564312,0.073065676,-0.025298227,-0.0553993,90,-42.44,0
1.19,0.59206655,47.7527657,0.029169198,0.002533774,-0.054432236,90,-42.25,0
1.2,0.60583929,47.96507,0.053320613,0.006781326,-0.0559887,90,-42.03,0
1.22,0.61938911,48.15193,-0.210303575,0.008266663,-0.053596795,90,-41.85,0
1.24,0.63250852,48.3339729,0.035551112,0.000479041,-0.051845785,90,-41.67,0
1.25,0.64654984,48.5027542,0.020567028,-0.000580518,-0.052223455,90,-41.5,0
1.27,0.65998185,48.6936455,0.04754126,-1.30431E-05,-0.049453873,90,-41.31,0
1.29,0.67381678,48.86907,0.025477776,-0.002240911,-0.04881298,90,-41.13,0
1.3,0.68756455,49.0378761,0.010662785,0.003921848,-0.03784339,90,-40.96,0
1.32,0.70120886,49.0050621,0.006191513,0.002864533,0.03243759,90,-40.99,0
1.34,0.7149361,48.8524933,-0.3241273,0.05224752,0.05429095,90,-41.15,0
1.35,0.72859895,48.6426163,0.164089292,-0.036573574,0.05775866,90,-41.36,0
1.37,0.74205523,48.4367676,0.000376678,0.000806581,0.05785022,90,-41.56,0
1.39,0.75553576,48.2363548,0.000768571,-0.003471802,0.054662917,90,-41.76,0
1.4,0.76916215,48.0442963,-0.024989216,-0.042103812,0.049564377,90,-41.96,0
1.42,0.78415947,47.85329,-0.007748512,0.011848855,0.055074934,90,-42.15,0
1.44,0.79611354,47.6731567,-0.04589066,0.023697697,0.062491,90,-42.33,0
1.45,0.80950011,47.4732,-0.031227948,0.001966082,0.055011988,90,-42.53,0
1.47,0.82293689,47.2817879,-0.04105985,0.002218074,0.049896285,90,-42.72,0
1.49,0.83605874,47.1011734,-0.035090953,0.008206278,0.049867675,90,-42.9,0
1.51,0.84915474,46.90795,-0.07083719,0.012858211,0.05339259,90,-43.09,0
1.52,0.86266619,46.72289,-0.039960157,-0.000322009,0.05217374,90,-43.28,0
1.53,0.87026981,46.54135,-0.021794539,0.000856596,0.048854817,90,-43.46,0
1.55,0.88330461,46.3800125,-0.011887341,-7.20865E-05,0.046909235,90,-43.62,0
1.57,0.90173389,46.216507,-0.005117022,0.003306131,0.044019483,90,-43.78,0
1.59,0.91389855,46.0759621,0.4326753,0.07503174,0.047927782,90,-43.92,0
1.61,0.92698087,45.9091,-0.040842407,0.000843889,0.0459765,90,-44.09,0
1.62,0.93962137,45.7440147,-0.02634092,-0.000467666,0.04614245,90,-44.26,0
1.64,0.95294108,45.59117,0.044712845,-0.015259385,0.04115834,90,-44.41,0
1.66,0.96588841,45.44471,-0.03114729,0.005414158,0.042182617,90,-44.56,0
1.67,0.97814035,45.3104668,-0.06676981,-0.032046497,0.037135582,90,-44.69,0
1.69,0.99250494,45.1751366,-0.016641939,0.001261531,0.036632016,90,-44.82,0
1.71,1.00409665,45.052227,-0.007996947,-0.002661301,0.036128458,90,-44.95,0
1.72,1.01627812,44.9032059,-0.102788739,-0.048556868,0.04871174,90,-45.1,0
1.74,1.02903692,44.71961,-0.050793845,-0.014244067,0.049707413,90,-45.28,0
1.76,1.04116737,44.58431,-0.020601085,9.44383E-05,0.04009973,90,-45.42,0
1.77,1.0538027,44.431675,-0.009136954,0.00032328,0.0375247,90,-45.57,0
1.79,1.06697802,44.3076439,-0.004547216,-0.001793825,0.03585379,90,-45.69,0
1.8,1.07340649,44.1914139,-0.003389546,0.001981371,0.034566276,90,-45.81,0
1.82,1.0856644,44.0654945,-0.06002412,0.005969933,0.048128057,90,-45.93,0
1.83,1.09793557,43.93497,-0.0362782,0.001368712,0.037902348,90,-46.07,0
1.86,1.11639941,43.81396,-0.022535412,-0.001273551,0.03302697,90,-46.19,0
1.88,1.12843483,43.7163773,-0.007415161,-0.007380249,0.03016584,90,-46.28,0
1.89,1.14154773,43.622097,-0.007426812,0.000115945,0.02677825,90,-46.38,0
1.91,1.15436428,43.5159264,0.898913741,0.055533767,0.030497728,90,-46.48,0
1.92,1.15966397,43.40368,-0.05090126,0.002623538,0.032025565,90,-46.6,0
1.94,1.17170742,43.3091736,-0.003866818,0.002602094,0.023075933,90,-46.69,0
1.96,1.18961677,43.2326469,0.001666447,0.001361689,0.022148924,90,-46.77,0
1.98,1.20246794,43.1617966,0.00082839,-0.00085931,0.023545155,90,-46.84,0
1.99,1.21325893,43.0703,-5.46001E-05,0.001605014,0.024735387,90,-46.93,0
2.01,1.22541308,42.9768181,0.003932147,-0.002694584,0.023957163,90,-47.02,0
2.02,1.23187559,42.87199,0.009542354,-0.000160824,0.04221694,90,-47.13,0
2.04,1.24381193,42.7272263,-0.233980656,-0.04089576,0.038554672,90,-47.27,0
2.06,1.2611583,42.5245667,-0.333891422,0.018977115,0.06968957,90,-47.48,0
2.07,1.26754805,42.35774,0.04065936,0.003161249,0.033170007,90,-47.64,0
2.09,1.27939429,42.1744,-0.345061719,0.025022447,0.038302884,90,-47.83,0
2.1,1.29129545,41.9988251,0.000520832,0.049550973,0.049266748,90,-48,0
2.12,1.30278391,41.8075638,-0.229583055,0.03925539,0.058359437,90,-48.19,0
2.14,1.3144881,41.6282272,0.06975311,0.012586427,0.057346597,90,-48.37,0
2.15,1.32612525,41.494297,-0.456335723,-0.00618815,0.018669734,90,-48.51,0
2.17,1.33766505,41.4264526,0.118027985,-0.03400175,0.022898503,90,-48.57,0
2.19,1.34924703,41.3840942,0.12243025,0.05453877,0.02276117,90,-48.62,0
2.21,1.36576602,41.38329,0.03707713,0.08735433,0.001279749,90,-48.62,0
2.23,1.37799049,41.4165077,0.001042148,0.052584898,0.00560008,90,-48.58,0
2.25,1.39032161,41.48176,-0.218547285,-0.0664563,-0.031440213,90,-48.52,0
2.25,1.39561291,41.519146,0.055801727,0.052252762,-0.00308634,90,-48.48,0
2.27,1.40716856,41.5983772,0.03917831,-0.02078307,-0.00629082,90,-48.4,0
2.29,1.42396431,41.7437553,0.010774532,-0.007355586,-0.027903868,90,-48.26,0
2.31,1.43549296,41.93191,0.002629066,-0.01412806,-0.06357079,90,-48.07,0
2.33,1.44736426,42.1954041,-0.046766948,0.01553912,-0.0743172,90,-47.8,0
2.34,1.45877596,42.42274,-0.05187437,0.015368126,-0.06269527,90,-47.58,0
2.36,1.47042672,42.6538124,-0.031834647,0.002589883,-0.06299282,90,-47.35,0
2.38,1.48243958,42.89775,-0.000784797,0.004890214,-0.068491936,90,-47.1,0
2.39,1.4946731,43.1191444,-0.00025765,0.008890913,-0.065596476,90,-46.88,0
2.41,1.50651697,43.3675766,0.004561942,-0.006566797,-0.06569374,90,-46.63,0
2.43,1.51907511,43.5733871,0.000137265,-0.000431359,-0.066901155,90,-46.43,0
2.45,1.53102822,43.79961,0.039218668,0.002012054,-0.055994496,90,-46.2,0
2.46,1.54350335,44.0018578,0.021752548,0.000593572,-0.059073087,90,-46,0
2.48,1.55573123,44.21532,-0.04722414,-0.012794339,-0.05624629,90,-45.78,0
2.5,1.56798853,44.39167,0.180428371,0.009703865,-0.049545504,90,-45.61,0
2.51,1.58063066,44.5851936,0.686350644,0.06309978,-0.044738796,90,-45.41,0
2.53,1.59318279,44.7185173,-0.127918556,0.006439075,-0.033711966,90,-45.28,0
2.55,1.6058143,44.8843,0.712126255,0.06471405,-0.060091667,90,-45.12,0
2.56,1.61828998,44.7613258,-0.03444943,0.014919824,0.113545053,90,-45.24,0
2.58,1.63049579,43.6509781,-0.02413015,0.001107809,0.428356022,90,-46.35,0
2.6,1.64290844,41.7898331,-0.010546672,-0.005490298,0.59307164,90,-48.21,0
2.61,1.6541433,39.5894279,-0.006311147,-0.001784353,0.6694011,90,-50.41,0
2.63,1.66493509,37.266037,-0.005154232,-0.00585191,0.59092015,90,-52.73,0
2.65,1.67531195,35.2712021,-0.00260196,-0.002134531,0.5401978,90,-54.73,0
2.66,1.6845574,33.0730438,-0.0484632,0.013660571,0.645287156,70,-36.93,0
2.68,1.69388073,30.7975159,-0.028790819,0.006606511,0.60101974,70,-39.2,0
2.7,1.70219704,28.66369,-0.06866851,0.011410505,0.5618677,70,-41.34,0
2.71,1.70972741,26.831356,-0.040852036,-0.023894757,0.431388646,70,-43.17,0
2.73,1.71714064,25.7033272,-0.02536211,0.022088818,0.260570168,70,-44.3,0
2.75,1.72414678,25.147686,-0.03639976,-0.030567743,0.08584911,70,-44.85,0
2.76,1.73117936,24.8864784,-0.043807857,-0.04301261,0.06420745,70,-45.11,0
2.78,1.73813075,24.7171383,-0.1389868,0.035245977,0.048465483,70,-45.28,0
2.8,1.74499774,24.626482,0.444159985,-0.072641686,0.018266175,70,-45.37,0
2.81,1.75187043,24.65971,-0.09820579,0.108368486,-0.022095893,70,-45.34,0
2.83,1.75888016,24.8693523,-0.09563075,0.025797987,-0.07613421,70,-45.13,0
2.85,1.76617013,25.310112,0.182084158,-0.03593135,-0.156085819,70,-44.69,0
2.87,1.7740102,26.0067234,0.437048376,-0.07357093,-0.224569976,70,-43.99,0
2.88,1.77750756,26.89459,-0.200816944,-0.048156746,-0.310095072,50,-23.11,0
2.89,1.78520787,28.3267326,0.3500649,0.016465783,-0.368468,50,-21.67,0
2.91,1.79331054,29.606966,-0.165257469,0.003217282,-0.389500141,50,-20.39,0
2.93,1.80183841,30.82677,-0.166450039,0.007784178,-0.229030475,90,-59.17,0
2.94,1.81049361,31.05747,-0.032219138,0.010196935,-0.027371807,90,-58.94,0
2.96,1.81922265,31.3547077,0.020444382,0.001675915,-0.122161292,90,-58.65,0
2.98,1.83145971,31.849659,0.3282413,-0.073178634,-0.138349608,90,-58.15,0
3,1.84057937,32.2728958,-0.083568044,0.005859889,-0.114321776,90,-57.73,0
3.02,1.84988167,32.6268578,0.4937817,0.029505603,-0.109171748,90,-57.37,0
3.03,1.8589872,32.9985847,-0.1715636,-0.029620001,-0.090620145,90,-57,0
3.04,1.86443905,33.3078041,0.4710054,-0.042884193,-0.08585921,90,-56.69,0
3.06,1.87376017,33.60351,-0.152791113,-0.002574134,-0.083312824,90,-56.4,0
3.08,1.88711522,33.9694633,-0.038048927,0.00501358,-0.119031265,90,-56.03,0
3.1,1.89623263,34.4111,0.6793889,0.04610161,-0.120868109,90,-55.59,0
3.12,1.90587902,34.8351631,-0.024160074,0.014369279,-0.121337324,90,-55.16,0
3.13,1.91586697,35.25575,-0.016561791,4.16899E-05,-0.123551831,90,-54.74,0
3.15,1.92564948,35.6748466,-0.009926702,-0.000269706,-0.121972464,90,-54.33,0
3.17,1.9358319,36.1306458,-0.006357567,-0.004972399,-0.119386017,90,-53.87,0
3.18,1.94606967,36.5635643,-0.004269408,0.001531207,-0.11781811,90,-53.44,0
3.2,1.95501702,36.892437,0.000471441,0.000961604,-0.1162731,90,-53.11,0
